fecha,estado,municipio,parroquia,sector,nombres_completos,cedula,genero,fecha_nacimiento,direccion,correo,telefono,institucion,grado,turno,tipo_institucion,num_personas,num_hermanos,fuente_ingreso,trabaja,dificultades,apoyos,banco,tipo_cuenta,numero_cuenta,servicio_comunitario,horarios,ubicacion_universidad,edad,edad_categorica
2026-08-16,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,Villa del Rosario,Valentina Diego Romero Martinez,27678312,F,2006-09-16,"Calle 11, Villa del Rosario, casa 10",valentina.romero78@example.com,0412-8521286,URBE,1er semestre,DIURNO,PRIVADA,5,3,FORMAL,No Trabaja,utiles,"material_escolar, beca, empleo",Banco del Tesoro,Ahorro,1630000674469291241,Acepto,Martes y jueves,Maracaibo,19,Mayor de edad
2026-08-10,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,San Miguel,Marta Fernando Mendoza Gomez,31210094,M,2007-10-25,"Calle 1, San Miguel, casa 22",marta.mendoza8@example.com,0414-9833957,U.E. Nuestra Senora del Carmen,6to ano,VESPERTINO,PUBLICA,2,5,FORMAL,No Trabaja,"transporte, hospedaje, alimentacion","alimentacion_apoyo, material_escolar",Banco Occidental de Descuento,Corriente,1160000614363134552,Acepto,Lunes y miercoles,La Villa Del Rosario,18,Mayor de edad
2026-08-18,Zulia,ROSARIO DE PERIJA,EL ROSARIO,Corito,Ana Camila Lopez Romero,30301647,M,2007-10-05,"Calle 2, Corito, casa 11",ana.lopez74@example.com,0424-7092090,U.E. Colegio Santa Rita,5to ano,DIURNO,PRIVADA,7,1,NINGUNO,No Trabaja,"alimentacion, hospedaje, tecnologia","alimentacion_apoyo, ayuda_economica",Banco Mercantil,Corriente,1050000235919541989,Acepto,Sabados en la manana,Maracaibo,18,Mayor de edad
2026-08-22,Zulia,ROSARIO DE PERIJA,EL ROSARIO,El Carmen,Gabriel Lucia Diaz Flores,31081450,F,2010-02-17,"Calle 13, El Carmen, casa 31",gabriel.diaz40@example.com,0412-7188720,U.E. Nuestra Senora del Carmen,4to ano,DIURNO,PUBLICA,7,2,INFORMAL,No Trabaja,"utiles, matricula, alimentacion","transporte_apoyo, alimentacion_apoyo",BBVA Provincial,Corriente,1080000242434175978,No acepto,,La Villa Del Rosario,16,Menor de edad
2026-08-08,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Miguel,Diego Elena Gonzalez Ramirez,26145713,M,2007-11-27,"Calle 4, San Miguel, casa 12",diego.gonzalez90@example.com,0426-5687905,U.E. Colegio San Jose,5to ano,NOCTURNO,PRIVADA,6,2,INFORMAL,No Trabaja,hospedaje,transporte_apoyo,Banco del Tesoro,Corriente,1630000217247997637,No acepto,,La Villa Del Rosario,18,Mayor de edad
2026-08-01,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,La Marina,Daniela Jorge Diaz Ruiz,28047354,M,2006-11-20,"Calle 2, La Marina, casa 15",daniela.diaz48@example.com,0424-1122764,LUZ,5to semestre,NOCTURNO,PUBLICA,5,1,INFORMAL,No Trabaja,"alimentacion, transporte","alimentacion_apoyo, beca",Banco Nacional de Credito,Ahorro,1910000726788605565,Acepto,Martes y jueves,Maracaibo,19,Mayor de edad
2026-08-26,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,La Marina,Elena Jesus Fernandez Gonzalez,26995575,M,2007-09-24,"Calle 3, La Marina, casa 89",elena.fernandez96@example.com,0424-5527361,U.E. Colegio San Jose,4to ano,VESPERTINO,PRIVADA,8,3,NINGUNO,No Trabaja,alimentacion,"empleo, material_escolar, transporte_apoyo",Banco Nacional de Credito,Ahorro,1910000374022653033,No acepto,,Maracaibo,18,Mayor de edad
2026-08-15,Zulia,ROSARIO DE PERIJA,DONALDO GARCÍA,El Recreo,Andres Gabriel Ruiz Gonzalez,31242493,M,2006-03-20,"Calle 2, El Recreo, casa 83",andres.ruiz95@example.com,0426-5887033,LUZ,3er semestre,NOCTURNO,PUBLICA,3,2,INFORMAL,No Trabaja,"alimentacion, tecnologia, transporte","empleo, transporte_apoyo",Banco Bicentenario,Corriente,1750000431519946458,Acepto,Martes y jueves,Maracaibo,20,Mayor de edad
2026-08-05,Zulia,ROSARIO DE PERIJA,SIXTO ZAMBRANO,Corito,Carlos Sofia Rodriguez Martinez,28212093,M,2005-03-28,"Calle 6, Corito, casa 58",carlos.rodriguez96@example.com,0416-5324167,U.E. Colegio San Jose,4to ano,DIURNO,PRIVADA,5,2,INFORMAL,Trabaja,"transporte, tecnologia, matricula",alimentacion_apoyo,Banco Bicentenario,Ahorro,1750000499446546839,No acepto,,Maracaibo,21,Mayor de edad
2026-08-15,Zulia,ROSARIO DE PERIJA,EL ROSARIO,San Miguel,Andres Fernando Vargas Ramirez,26727922,M,2007-11-30,"Calle 12, San Miguel, casa 88",andres.vargas97@example.com,0424-3240309,U.E. Dr. Rafael Urdaneta,5to ano,VESPERTINO,PUBLICA,8,4,INFORMAL,No Trabaja,utiles,"ayuda_economica, beca, material_escolar",Banco de Venezuela,Corriente,1020000207462801773,No acepto,,La Villa Del Rosario,18,Mayor de edad
